baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
65136.776496064296	2.955432976640644	0.144102353732493	20.509262340898438	1.7797294992789765e-93	4.075580553348856e-91	ENSG00000160191
19982.970065825073	3.292323749949221	0.17225141436505417	19.1134787605968	1.9502419252234155e-81	2.2330270043808106e-79	ENSG00000154734
9240.310865125277	2.7436597750406957	0.18001301326703958	15.241452410835569	1.8765208818923656e-52	1.4324109398445056e-50	ENSG00000183145
5644.531560644955	2.9462931840739586	0.2043424990957319	14.41840633794763	3.9638986121489115e-47	2.269331955455252e-45	ENSG00000142168
11085.928239926732	3.14815326332236	0.2193826136534671	14.350058151349803	1.0644794396977006e-46	4.875315833815468e-45	ENSG00000276289
9475.037699295528	3.237719083090225	0.2419281246569492	13.382979294702784	7.603729772490984e-41	2.9020901965007255e-39	ENSG00000154723
25616.377462307748	2.5713919165403993	0.2218475205856278	11.590807549944666	4.587864320533484e-31	1.500887042003097e-29	ENSG00000180509
33668.74548214795	3.0184406584049834	0.2690652709220374	11.218246963130321	3.317820852749285e-29	9.497262190994829e-28	ENSG00000156299
2370.2182167693427	1.6222709008949248	0.32106266655789234	5.052817003880473	4.3534096288259634e-7	1.1077008944457174e-5	ENSG00000275993
9045.381846444105	2.578821627438903	0.568007705059127	4.540117333743667	5.622293177219204e-6	1.2875051375831978e-4	ENSG00000142178
291.0863357718213	-1.2953763652852697	0.32638440721178064	-3.9688671905356694	7.221511385977428e-5	0.0015033873703534826	ENSG00000222018
438.5685135545195	-1.2138403170512844	0.31735283786839263	-3.824891956865589	1.3082944886061432e-4	0.00249666198242339	ENSG00000215455
1445.3408857999927	-0.6315311102280835	0.20551653431349834	-3.072896846658262	0.0021199175320262115	0.037343162679538654	ENSG00000166351
659.879313040054	1.0019926271420834	0.34796468627834587	2.87958136746257	0.00398203529585133	0.06513472019642533	ENSG00000156284
3338.734701447034	0.45662528914755446	0.17144769418724332	2.6633504248173785	0.007736679879661232	0.1181133128294948	ENSG00000157557
7386.368475728904	0.4021383004754424	0.1597542719621294	2.5172303409249137	0.01182814730401174	0.16929035828866804	ENSG00000160183
4443.249181777526	0.3746339437905865	0.16792477823250834	2.2309628616681514	0.02568358915678074	0.3395342787737252	ENSG00000154721
6912.9343098314175	-0.5783783100267931	0.26099550769023067	-2.2160469930894613	0.026688283921078842	0.3395342787737252	ENSG00000171587
8144.759130583621	-0.3966340404468749	0.18286428565836357	-2.1690076824945845	0.030082100655194045	0.3492213226665673	ENSG00000205581
1388.2191492836223	-0.522419040968207	0.24154653882011248	-2.1628090533612214	0.030555868994536703	0.3492213226665673	ENSG00000205929
494.435331095895	0.5472980843851729	0.2552574077253788	2.144102650192189	0.03202466277728346	0.3492213226665673	ENSG00000276612
8129.494303091673	0.38441687568921673	0.18809595423629755	2.04372750732474	0.040980474185609614	0.4110954051456251	ENSG00000157542
1277.4321769563685	-0.5346156655333774	0.2619874542246061	-2.040615521516701	0.0412890581587309	0.4110954051456251	ENSG00000160284
434.86640600230015	0.7365534957501196	0.3975335710064413	1.8528082895876612	0.06390984165727226	0.6087603468686841	ENSG00000221859
3054.3224433829714	-0.37791664563213306	0.20591341694957202	-1.8353182188447899	0.06645855315160307	0.6087603468686841	ENSG00000142149
26599.44373075913	-0.30718559447952776	0.1708745117780002	-1.7977262453198557	0.07222040020729838	0.6360950633642819	ENSG00000182670
15180.641950399244	1.6963552064850196	0.9599310149752265	1.767163660743682	0.07720082358321227	0.6494682552320173	ENSG00000141959
8366.608417588113	-0.36411362781871726	0.207576939845807	-1.7541140556807002	0.07941096570522482	0.6494682552320173	ENSG00000160285
